Id,Lable,Name,Sex
PER_37_180548_183705,PER_37_180548_183705,Heliodoros,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_18712,PER_18712,Spemminis,Male
PER_18713,PER_18713,Taesis,Female
PER_18714,PER_18714,Harsiesis,Male
PER_18713,PER_18713,Taesis,Female
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_18713,PER_18713,Taesis,Female
PER_18713,PER_18713,Taesis,Female
PER_37_180548_183705,PER_37_180548_183705,Heliodoros,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_18712,PER_18712,Spemminis,Male
PER_19146,PER_19146,Patseous,Male
PER_19147,PER_19147,Sales,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_19146,PER_19146,Patseous,Male
PER_37_180548_183705,PER_37_180548_183705,Heliodoros,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_19146,PER_19146,Patseous,Male
PER_19147,PER_19147,Sales,Male
PER_73_242437_351540,PER_73_242437_351540,Hermias,Male
PER_70_242438_351541,PER_70_242438_351541,Paniskos,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_18712,PER_18712,Spemminis,Male
PER_15041,PER_15041,Psenthotes,Male
PER_19148,PER_19148,Alykis,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_338817,PER_338817,Pelaias,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_15041,PER_15041,Psenthotes,Male
PER_73_242437_351540,PER_73_242437_351540,Hermias,Male
PER_70_242438_351541,PER_70_242438_351541,Paniskos,Male
PER_15041,PER_15041,Psenthotes,Male
PER_19148,PER_19148,Alykis,Male
PER_70_242438_351541,PER_70_242438_351541,Paniskos,Male
PER_7769,PER_7769,Herianoupis,Male
PER_338888,PER_338888,Psenminis,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_398_00398_73649_75696_160705,PER_398_00398_73649_75696_160705,Asklepiades alias Patseous,Male
PER_19150,PER_19150,Patseous,Male
PER_19151,PER_19151,Orseus,Male
PER_7769,PER_7769,Herianoupis,Male
PER_7769,PER_7769,Herianoupis,Male
PER_19152,PER_19152,Peteesis,Male
PER_19153,PER_19153,Pates,Male
PER_359_11831_73600,PER_359_11831_73600,Pelaias,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_400,PER_400,Hermias,Male
PER_19152,PER_19152,Peteesis,Male
PER_19153,PER_19153,Pates,Male
PER_359_11831_73600,PER_359_11831_73600,Pelaias,Male
PER_367,PER_367,Taenoutis,Female
PER_368,PER_368,Psenpoeris,Male
PER_377,PER_377,Totoes,Male
PER_376,PER_376,Panechotes,Male
PER_359_11831_73600,PER_359_11831_73600,Pelaias,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_19152,PER_19152,Peteesis,Male
PER_359_11831_73600,PER_359_11831_73600,Pelaias,Male
PER_400,PER_400,Hermias,Male
PER_19156,PER_19156,Tanemieus,Female
PER_19298,PER_19298,Sales,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_18712,PER_18712,Spemminis,Male
PER_37_180548_183705,PER_37_180548_183705,Heliodoros,Male
PER_19298,PER_19298,Sales,Male
PER_19157,PER_19157,Patseous,Male
PER_19156,PER_19156,Tanemieus,Female
PER_19157,PER_19157,Patseous,Male
PER_19299,PER_19299,Pamenis,Male
PER_19300,PER_19300,Psenesis,Male
PER_327,PER_327,Nechoutes,Male
PER_350,PER_350,Patous,Male
PER_351,PER_351,Herieus,Male
PER_348,PER_348,Pates,Male
PER_349,PER_349,Pelaias,Male
PER_343,PER_343,Paous,Male
PER_344,PER_344,Pelaias,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_18712,PER_18712,Spemminis,Male
PER_19298,PER_19298,Sales,Male
PER_19156,PER_19156,Tanemieus,Female
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_37_180548_183705,PER_37_180548_183705,Heliodoros,Male
PER_118_12385,PER_118_12385,Petosiris,Male
PER_73_242437_351540,PER_73_242437_351540,Hermias,Male
PER_70_242438_351541,PER_70_242438_351541,Paniskos,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_398_00398_73649_75696_160705,PER_398_00398_73649_75696_160705,Asklepiades alias Patseous,Male
PER_334,PER_334,Orseus,Male
PER_335,PER_335,Horos,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_334,PER_334,Orseus,Male
PER_160276,PER_160276,Petesouchos,Male
PER_161713,PER_161713,Nechtanoupis,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_160276,PER_160276,Petesouchos,Male
PER_73_242437_351540,PER_73_242437_351540,Hermias,Male
PER_70_242438_351541,PER_70_242438_351541,Paniskos,Male
PER_123_292979,PER_123_292979,Paniskos,Male
PER_121,PER_121,Paniskos,Male
PER_122,PER_122,Apollonios,Male
PER_160276,PER_160276,Petesouchos,Male
PER_161713,PER_161713,Nechtanoupis,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_398_00398_73649_75696_160705,PER_398_00398_73649_75696_160705,Asklepiades alias Patseous,Male
PER_123_292979,PER_123_292979,Paniskos,Male
PER_73_242437_351540,PER_73_242437_351540,Hermias,Male
PER_70_242438_351541,PER_70_242438_351541,Paniskos,Male
PER_19302_242253_242250,PER_19302_242253_242250,Panebchounis,Male
PER_19303_242251,PER_19303_242251,Paous,Male
PER_354,PER_354,Patous,Male
PER_355,PER_355,Psenmonthes,Male
PER_242252,PER_242252,Pamounis,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_398_00398_73649_75696_160705,PER_398_00398_73649_75696_160705,Asklepiades alias Patseous,Male
PER_19302_242253_242250,PER_19302_242253_242250,Panebchounis,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_73_242437_351540,PER_73_242437_351540,Hermias,Male
PER_70_242438_351541,PER_70_242438_351541,Paniskos,Male
PER_275,PER_275,Pankrates,Male
PER_276,PER_276,Apollonios,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_398_00398_73649_75696_160705,PER_398_00398_73649_75696_160705,Asklepiades alias Patseous,Male
PER_19302_242253_242250,PER_19302_242253_242250,Panebchounis,Male
PER_19303_242251,PER_19303_242251,Paous,Male
PER_275,PER_275,Pankrates,Male
PER_378_65566_75620,PER_378_65566_75620,Sebtitis,Female
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_61,PER_61,Sosos,Male
PER_378_65566_75620,PER_378_65566_75620,Sebtitis,Female
PER_19319_57952_72266_328763,PER_19319_57952_72266_328763,Harsiesis,Male
PER_380,PER_380,Phatres,Male
PER_379_19628,PER_379_19628,Chesthotes,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_18712,PER_18712,Spemminis,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_398_00398_73649_75696_160705,PER_398_00398_73649_75696_160705,Asklepiades alias Patseous,Male
PER_314,PER_314,Kalibis,Female
PER_322,PER_322,Kethis,Male
PER_9180_11647_242446,PER_9180_11647_242446,Thrason alias Patous,Male
PER_41_19094_79378_79421_242439_351544,PER_41_19094_79378_79421_242439_351544,Hermophilos alias Phibis,Male
PER_378_65566_75620,PER_378_65566_75620,Sebtitis,Female
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_11276_339203,PER_11276_339203,Pakebkis,Male
PER_339204,PER_339204,Thotortaios,Male
PER_19320,PER_19320,Pates,Male
PER_49,PER_49,Nechoutes,Male
PER_408,PER_408,Patseous,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_6715,PER_6715,Kaies,Male
PER_65750,PER_65750,Pamenos,Male
PER_53861_54564_73592_73595_73602_76408,PER_53861_54564_73592_73595_73602_76408,Nechoutis,Female
PER_54452_73543_78230,PER_54452_73543_78230,Pates,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_5893,PER_5893,Harkonesis,Male
PER_19355,PER_19355,Pioueris,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_18712,PER_18712,Spemminis,Male
PER_61,PER_61,Sosos,Male
PER_5893,PER_5893,Harkonesis,Male
PER_19355,PER_19355,Pioueris,Male
PER_345,PER_345,Pasemis,Male
PER_345,PER_345,Pasemis,Male
PER_357,PER_357,Patsantis,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_18712,PER_18712,Spemminis,Male
PER_5893,PER_5893,Harkonesis,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_55,PER_55,Ammonios alias Pakebkis,Male
PER_61,PER_61,Sosos,Male
PER_408,PER_408,Patseous,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_18712,PER_18712,Spemminis,Male
PER_5893,PER_5893,Harkonesis,Male
PER_19355,PER_19355,Pioueris,Male
PER_408,PER_408,Patseous,Male
PER_61,PER_61,Sosos,Male
PER_5893,PER_5893,Harkonesis,Male
PER_19355,PER_19355,Pioueris,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_18712,PER_18712,Spemminis,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_55,PER_55,Ammonios alias Pakebkis,Male
PER_61,PER_61,Sosos,Male
PER_61,PER_61,Sosos,Male
PER_5893,PER_5893,Harkonesis,Male
PER_19355,PER_19355,Pioueris,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_18712,PER_18712,Spemminis,Male
PER_5893,PER_5893,Harkonesis,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_55,PER_55,Ammonios alias Pakebkis,Male
PER_61,PER_61,Sosos,Male
PER_395_697,PER_395_697,Apollonios,Male
PER_121,PER_121,Paniskos,Male
PER_256,PER_256,Kephalon,Male
PER_257,PER_257,Polydeukes,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_398_00398_73649_75696_160705,PER_398_00398_73649_75696_160705,Asklepiades alias Patseous,Male
PER_398_00398_73649_75696_160705,PER_398_00398_73649_75696_160705,Asklepiades alias Patseous,Male
PER_398_00398_73649_75696_160705,PER_398_00398_73649_75696_160705,Asklepiades alias Patseous,Male
PER_41_19094_79378_79421_242439_351544,PER_41_19094_79378_79421_242439_351544,Hermophilos alias Phibis,Male
PER_73644,PER_73644,Senesis,Female
PER_10061,PER_10061,Lochos,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_398_00398_73649_75696_160705,PER_398_00398_73649_75696_160705,Asklepiades alias Patseous,Male
PER_80759,PER_80759,Tachonsis,Female
PER_73646,PER_73646,Orseus,Male
PER_78263,PER_78263,Horos,Male
PER_73647,PER_73647,Psenpoeris,Male
PER_78264,PER_78264,Chesthotes,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_73648,PER_73648,Senamounis,Female
PER_78265,PER_78265,Pesouris,Male
PER_80760,PER_80760,Senapathes,Female
PER_398_00398_73649_75696_160705,PER_398_00398_73649_75696_160705,Asklepiades alias Patseous,Male
PER_41_19094_79378_79421_242439_351544,PER_41_19094_79378_79421_242439_351544,Hermophilos alias Phibis,Male
PER_73644,PER_73644,Senesis,Female
PER_398_00398_73649_75696_160705,PER_398_00398_73649_75696_160705,Asklepiades alias Patseous,Male
PER_80759,PER_80759,Tachonsis,Female
PER_163_116635,PER_163_116635,Espnoutis,Male
PER_164_116634,PER_164_116634,Teos,Male
PER_48490,PER_48490,Pelaias,Male
PER_48491,PER_48491,Petesouchos,Male
PER_48492,PER_48492,Nechtanoupis,Male
PER_48493,PER_48493,Patseous,Male
PER_48494,PER_48494,Patseous,Male
PER_48495,PER_48495,Phibis,Male
PER_48496,PER_48496,Pagonis,Male
PER_48497,PER_48497,Psen-iah,Male
PER_48498,PER_48498,Nechoutes,Male
PER_48499,PER_48499,Ptolemaios,Male
PER_48500,PER_48500,Pates,Male
PER_48501,PER_48501,Cherer,Male
PER_48502,PER_48502,Patous,Male
PER_48503,PER_48503,Horos,Male
PER_48504,PER_48504,Pelaias,Male
PER_48505,PER_48505,Patseous,Male
PER_48506,PER_48506,Segen,Male
PER_48507,PER_48507,Pahyris,Male
PER_48508,PER_48508,Psenanoupis,Male
PER_48509,PER_48509,Ammonios,Male
PER_48510,PER_48510,Panenteris,Male
PER_48511,PER_48511,Pelaias,Male
PER_48512,PER_48512,Sisouchos,Male
PER_48513,PER_48513,Onnophris,Male
PER_48514,PER_48514,Peteharpres,Male
PER_48515,PER_48515,Pakebkis,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
ID_1,ID_1,Pa-Tw,Male
ID_2,ID_2,P-mr-??,Male
ID_3,ID_3,Pa-Tt (?),Male
ID_4,ID_4,??wt-e??t-?y-s,Male
ID_5,ID_5,?r-sy-?S,Male
ID_6,ID_6,Sbk-?tp,Male
PER_10061,PER_10061,Lochos,Male
PER_8170_78233_160275_242017,PER_8170_78233_160275_242017,Eunous alias Nechoutes,Male
PER_398_00398_73649_75696_160705,PER_398_00398_73649_75696_160705,Asklepiades alias Patseous,Male
PER_65579,PER_65579,Tapremithis,Female
PER_54452_73543_78230,PER_54452_73543_78230,Pates,Male
PER_53862_73544_73598,PER_53862_73544_73598,Nahomsesis,Female
PER_163_116635,PER_163_116635,Espnoutis,Male
PER_164_116634,PER_164_116634,Teos,Male
PER_46284,PER_46284,Herianoupis,Male
PER_46285,PER_46285,Peteharsomtous,Male
PER_274_46286_117895_242281_390602,PER_274_46286_117895_242281_390602,Pakebkis,Male
PER_51_19304_46287_53602_63456_117894_242284_393017,PER_51_19304_46287_53602_63456_117894_242284_393017,Patous,Male
PER_46288,PER_46288,Pakebkis,Male
PER_46289,PER_46289,Peteharsomtous,Male
PER_46290,PER_46290,Pachrates,Male
PER_46291,PER_46291,Horos,Male
PER_55,PER_55,Ammonios alias Pakebkis,Male
PER_47_19305_54204_69378,PER_47_19305_54204_69378,Areios alias Pelaias (????????),Male
PER_46294,PER_46294,Mesoeris?,Male
PER_46295,PER_46295,Harpekysis,Male
PER_46296,PER_46296,Patseous,Male
PER_46297,PER_46297,Phibis,Male
PER_46298,PER_46298,Patseous,Male
PER_46299,PER_46299,Psenanoupis,Male
PER_46300,PER_46300,Patous,Male
PER_46301,PER_46301,Pete…,Male
PER_46302,PER_46302,Pates,Male
PER_46303,PER_46303,Cherer,Male
PER_46304,PER_46304,Peteharsomtous,Male
PER_46305,PER_46305,Peteharsomtous,Male
PER_271_46306,PER_271_46306,Peteharoeris,Male
PER_267_46307_46309_51490_74642_79408_116632_117847,PER_267_46307_46309_51490_74642_79408_116632_117847,Sochotes,Male
PER_270_46308,PER_270_46308,Nechoutes,Male
PER_267_46307_46309_51490_74642_79408_116632_117847,PER_267_46307_46309_51490_74642_79408_116632_117847,Sochotes,Male
PER_118084,PER_118084,Nechoutes,Male
PER_46310,PER_46310,Patous?,Male
PER_46311,PER_46311,Sisouchos,Male
PER_46312,PER_46312,Pelaias,Male
PER_46313,PER_46313,Peteharsomtous,Male
PER_46314,PER_46314,Patous,Male
PER_11838,PER_11838,Pelaias,Male
PER_65580,PER_65580,Pelaias,Male
PER_65581,PER_65581,Teos,Female
PER_65582,PER_65582,Tharmouthis,Female
PER_72270,PER_72270,Patseous,Male
PER_72769,PER_72769,Ti-chonsou,Female
PER_163_116635,PER_163_116635,Espnoutis,Male
PER_164_116634,PER_164_116634,Teos,Male
PER_46315_49600_51296,PER_46315_49600_51296,Onnophris,Male
PER_46316_49601_51297,PER_46316_49601_51297,Sisouchos,Male
PER_46317,PER_46317,Harpekysis,Male
PER_46318,PER_46318,Sihyris,Male
PER_46319,PER_46319,Spemminis,Male
PER_46320,PER_46320,Espnoutis,Male
PER_46321,PER_46321,Petesouchos,Male
